Date,Category,Title,Text
17 июл 2014 23:57,Экономика,Fitch: Санкции затруднят доступ к кредитам многим российским компаниям,"Новые санкции Вашингтона ограничат доступ на глобальные долговые рынки для многих российских компаний, а не только для Внешэкономбанка, Газпромбанка, "" Роснефти"" и НОВАТЭКа, считает международное рейтинговое агентство Fitch."
17 июл 2014 18:12,Экономика,Что на самом деле означают новые санкции США,"Власти США 16 июля расширили финансовые санкции против российских компаний. Для этого американский Минфин придумал нововведение - особый список Sectoral Sanctions Identifications List (SSI), куда попали Внешэкономбанк, Газпромбанк, ""Роснефть"" и НОВАТЭК."
15 июл 2014 09:22,Экономика,"""Башнефть"", ""Магнит"" и ""Система"" признаны лидерами по росту стоимости","Сразу шесть российских компаний вошли в составленный экспертами Boston Consulting Group (BCG) рейтинг мировых лидеров по приросту акционерной стоимости (total shareholders return, TSR). При этом три компании - ""Башнефть"", АФК..."
14 июл 2014 17:58,Экономика,Бизнес написал Медведеву о грядущем отходе от рыночной экономики,"Руководители крупнейших российских компаний, среди которых совладелец НОВАТЭКа Леонид Михельсон и гендиректор ""Северстали"" Алексей Мордашов, просят правительство не давать ходу поправкам в закон о конкуренции, наделяющим..."
27 май 2014 13:41,Экономика,На смену Газпрому в Подмосковье может прийти НОВАТЭК,"НОВАТЭК считает рынок Подмосковья интересным и перспективным и рассматривает возможность расширения поставок газа в регион, сообщил журналистам глава компании Леонид Михельсон."
22 май 2014 19:17,Экономика,"Китайцы помогли Тимченко решить проблему с финансированием ""Ямал СПГ""","Китайская сторона выделит на проект ""Ямал СПГ"" 20 млрд долл., заявил Геннадий Тимченко на Санкт-Петербургском международном экономическом форуме."
21 мар 2014 12:55,Экономика,Акции НОВАТЭКа упали в цене на 12%,"Акции НОВАТЭКа, которые сегодня на Московской бирже снижаются после объявления США о санкциях против совладельца компании Геннадия Тимченко, ускорили свое падение."
27 янв 2014 09:15,Экономика,Минэнерго согласно пустить на российский шельф только ЛУКОЙЛ,"Разработанный в Министерстве природных ресурсов и экологии законопроект, разрушающий монополию Газпрома и ""Роснефти"" на работу на континентальном шельфе России, не нашел поддержки в Министерстве энергетики, сообщает газета ""Коммерсантъ""."
14 янв 2014 16:34,Экономика,НОВАТЭК продал китайской CNPC 20% в газовом проекте на Ямале,"Компания ""НОВАТЭК"" закрыла сделку по продаже 20%-процентной доли участия в проекте ""Ямал СПГ"" компании CNODC, ""дочке"" Китайской национальной нефтегазовой корпорации (CNPC). В результате доля НОВАТЭКа в капитале ОАО ""Ямал СПГ"" сократилась до 60%, еще 20% принадлежат французской Total."
27 дек 2013 15:05,Экономика,"НОВАТЭК и ""Роснефть"" закрыли сделку по обмену активами","НОВАТЭК закрыл сделку с ""Роснефтью"" по обмену 51% ""Сибнефтегаза"" на 40% Artic Russia B.V., говорится в сообщении НОВАТЭКа. Ранее отмечалось, что сделка по обмену активами не предполагает денежных расчетов. Artic Russia B.V., в свою очередь, владеет 49% в уставном капитале ООО ""СеверЭнергия""."
23 дек 2013 13:03,Экономика,Второй завод СПГ на Ямале построят до 2025г.,"Мощность второго завода по производству сжиженного природного газа (СПГ) на Ямале может составить 15-16,5 млн т в год, его строительство запланировано до 2025г., говорится в комплексном плане по развитию производства СПГ на Ямале, поправки в который утверждены распоряжением правительства."
18 дек 2013 20:16,Экономика,"Инвестиции в проект ""Ямал СПГ"" оцениваются почти в 27 млрд долл.","Совет директоров ""Ямал СПГ"" принял окончательное инвестиционное решение по проекту разработки Южно-Тамбейского газоконденсатного месторождения и строительства завода по сжижению природного газа на полуострове Ямал, говорится в..."
20 ноя 2013 15:29,Экономика,"НОВАТЭК и Газпром выкупают у ENI долю в ""СеверЭнергии""","ООО ""Ямал развитие"" (совместное предприятие, которым на паритетной основе владеют ОАО ""НОВАТЭК"" и ОАО ""Газпром нефть"") заключило обязывающее соглашение с итальянской ENI о приобретении 60-процентной доли участия в компании Artic..."
19 ноя 2013 14:26,Экономика,"Мощность проекта ""Ямал СПГ"" могут увеличить почти в два раза","НОВАТЭК рассматривает возможность расширения проекта ""Ямал СПГ"" до 25-30 млн т в год, сообщил председатель совета директоров НОВАТЭКа Александр Наталенко на форуме ""Газ России""."
13 ноя 2013 14:05,Экономика,"Россия одобрила продажу 20% акций проекта ""Ямал СПГ"" китайской CNPC","Правительственная комиссия по контролю за иностранными инвестициями одобрила продажу 20% голосующих акций проекта ""Ямал СПГ"" китайской компании CNPC, сообщил журналистам по итогам заседания глава ФАС Игорь Артемьев."
05 ноя 2013 11:21,Экономика,Сжиженный газ с Ямала покроет 10% потребностей Испании,"Компании ""Ямал СПГ"" и испанская Gas Natural Fenosa (GNF) заключили долгосрочное соглашение на поставку 2,5 млн т сжиженного природного газа (СПГ) в год, что эквивалентно 3,2 млрд кубометров природного газа. Как сообщили в..."
22 окт 2013 09:46,Экономика,Россия и Китай договорились о нефтяном контракте на 85 млрд долл.,"Президент ""Роснефти"" Игорь Сечин и председатель совета директоров китайской компании Sinopec Фу Чэньюй подписали меморандум по экспортному контракту на условиях предоплаты. Документ подписан в ходе официального визита премьер-министра РФ Дмитрия Медведева в Китайскую Народную Республику."
10 окт 2013 13:08,Экономика,"Г.Тимченко: Мы идем в Китай, потому что там рынок","Совладелец нефтетрейдера Gunvor и газодобывающей компании НОВАТЭК Геннадий Тимченко рассматривает возможность инвестирования в газовую инфраструктуру Китая, сообщает пресс-служба инвестиционной группы Г.Тимченко Volga Group со ссылкой на интервью бизнесмена российским СМИ."
27 сен 2013 17:58,Экономика,"НОВАТЭК обсуждает продажу доли в проекте ""Ямал-СПГ"" азиатским партнерам","НОВАТЭК ведет переговоры о продаже 9% акций проекта ""Ямал-СПГ"" с индийскими, японскими и китайскими компаниями, сообщил в кулуарах сочинского форума министр энергетики РФ Александр Новак, отвечая на вопрос РБК."
25 сен 2013 11:24,Экономика,"НОВАТЭК и ""Газпром нефть"" не хотят пускать ""Роснефть"" на Ямал","""Газпром нефть"" и НОВАТЭК рассчитывают самостоятельно выкупить у итальянской компании Enel ее долю в ООО ""СеверЭнергия"", о приобретении которой вчера объявила ""Роснефть"", сообщил журналистам в кулуарах III Международного арктического форума совладелец НОВАТЭКа Геннадий Тимченко."
18 сен 2013 12:18,Экономика,НОВАТЭК займется поисками нефти и газа у берегов Ливана,"Подконтрольная НОВАТЭКу швейцарская Novatek Overseas AG получила право распоряжаться 70% акций GPB Mediterranean B.V., которая претендует на разработку месторождений на ливанском шельфе, следует из сообщения российской компании..."
10 сен 2013 13:23,Экономика,"Россия и Китай договорились о финансировании проекта ""Ямал СПГ""","НОВАТЭК, CNPC и консорциум китайских банков подписали меморандум по финансированию проекта ""Ямал СПГ"", говорится в сообщении НОВАТЭКа. Отметим, что 5 сентября в Санкт-Петербурге НОВАТЭК и CNPC заключили договор купли-продажи о приобретении китайской компанией 20% в проекте ""Ямал СПГ""."
10 сен 2013 11:03,Экономика,Минэнерго готово дать право на экспорт СПГ всем недропользователям,"Министерство энергетики РФ закончило разработку поправок к закону ""Об экспорте газа"", открывающих компаниям, независимым от Газпрома, возможность экспортировать сжиженный природный газ (СПГ), сообщает газета ""Коммерсантъ""..."
05 сен 2013 13:28,Экономика,Китайская CNPC поможет НОВАТЭКу добывать газ на Ямале,"Российская частная газовая корпорация НОВАТЭК и дочернее предприятие CNPC - Китайская национальная корпорация по разведке и разработке нефти и газа (CNODC) - заключили договор купли-продажи акций ОАО ""Ямал-СПГ"". Соглашение было..."
21 июн 2013 15:11,Экономика,"Китайская CNPC получила 20% в проекте ""Ямал-СПГ""","НОВАТЭК и CNPC подписали соглашение о вхождении китайской компании в проект ""Ямал-СПГ"" с долей в 20% и долгосрочных поставках на китайский рынок."
