<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NVTK,D,01/10/10,000000,236.8400000,240.0000000,233.7000000,237.5000000,600083
NVTK,D,04/10/10,000000,237.9900000,240.0000000,236.7400000,237.8000000,388262
NVTK,D,05/10/10,000000,238.2600000,238.5000000,235.0000000,237.0000000,163598
NVTK,D,06/10/10,000000,237.3300000,238.2900000,232.0500000,234.0000000,362353
NVTK,D,07/10/10,000000,234.0100000,241.0000000,226.6800000,230.5000000,502450
NVTK,D,08/10/10,000000,230.5100000,233.8600000,228.0000000,230.5000000,293283
NVTK,D,11/10/10,000000,232.7600000,234.8000000,232.5000000,233.4800000,144138
NVTK,D,12/10/10,000000,232.7600000,234.8900000,230.0000000,233.0000000,265088
NVTK,D,13/10/10,000000,233.5500000,237.3900000,231.9000000,235.1000000,324208
NVTK,D,14/10/10,000000,235.9900000,237.9700000,232.5100000,234.0000000,157571
NVTK,D,15/10/10,000000,233.9900000,237.9000000,232.1900000,235.7000000,164346
NVTK,D,18/10/10,000000,234.0000000,238.0000000,232.0800000,237.9800000,220841
NVTK,D,19/10/10,000000,238.0000000,242.4300000,237.0000000,237.5200000,436690
NVTK,D,20/10/10,000000,237.4800000,237.4800000,230.0000000,235.3200000,270778
NVTK,D,21/10/10,000000,234.1000000,242.0000000,233.0000000,241.3000000,290861
NVTK,D,22/10/10,000000,240.0000000,243.0000000,236.5000000,239.0000000,229006
NVTK,D,25/10/10,000000,239.0000000,245.7000000,238.0100000,245.0000000,453415
NVTK,D,26/10/10,000000,243.9000000,248.5800000,242.6700000,245.5000000,407631
NVTK,D,27/10/10,000000,243.8900000,247.9900000,241.8600000,242.6700000,341669
NVTK,D,28/10/10,000000,242.0100000,246.0000000,241.5800000,245.8000000,153541
NVTK,D,29/10/10,000000,245.0000000,248.8200000,242.5000000,248.8200000,169901
NVTK,D,01/11/10,000000,249.4900000,254.5000000,246.6500000,253.1000000,423775
NVTK,D,02/11/10,000000,253.9600000,257.9900000,253.1000000,255.5000000,352434
NVTK,D,03/11/10,000000,255.0000000,261.1100000,253.0000000,257.5500000,389516
